补助资金	=总数=49=政府补贴49|
重组进展	=总数=541=交易异动1|资产重组541|
 重组进展情况	=总数=20=资产重组20|
 重组事项进展	=总数=16=资产重组16|
 资产重组进展	=总数=534=资产重组534|
首期激励	=总数=105=股权激励105|
首次事项	=总数=6=未分类1|股权激励5|
获得补贴	=总数=37=政府补贴37|
发行事宜	=总数=17=债券发行3|增发14|
 发行股份事宜	=总数=6=增发6|
 非公开发行事宜	=总数=10=增发10|
事项批复	=总数=15=未分类1|股份减持1|增发12|资产重组1|股份增持1|
股东办理	=总数=7=回购6|增发1|质押6|
之股票书	=总数=5=首发1|增发4|关联交易1|资产重组1|
共同出资	=总数=11=关联交易11|资产重组1|
 与共同出资	=总数=8=关联交易8|
资金股权	=总数=46=未分类3|兼并收购42|股份增持1|
 资金收购股权	=总数=43=未分类1|兼并收购42|
  资金收购公司股权	=总数=14=兼并收购14|
  拟使用超募资金收购股权	=总数=5=兼并收购5|
 超募资金股权	=总数=33=未分类2|兼并收购31|
 使用募集资金股权	=总数=5=兼并收购4|股份增持1|
申请受理	=总数=39=债券发行3|未分类5|配股1|关联交易2|增发21|资产重组10|兼并收购1|
 重组申请获得受理	=总数=6=资产重组6|
 材料行政许可申请受理	=总数=11=增发4|资产重组7|
 获得行政许可申请受理	=总数=11=配股1|增发4|资产重组6|
签署投资	=总数=16=合同签订16|
出售股份	=总数=17=大宗交易4|股份减持7|增发10|关联交易7|资产重组2|
 股东出售股份	=总数=5=大宗交易4|股份减持5|
事前意见	=总数=177=未分类14|合同签订9|股份减持4|高管变动4|关联交易133|增发20|资产重组5|业绩发布1|兼并收购9|质押1|股份增持1|担保事项6|
 事前独立意见	=总数=32=未分类3|合同签订4|高管变动1|股份减持1|关联交易21|兼并收购2|股份增持1|担保事项3|
  事前及独立意见	=总数=14=未分类1|高管变动1|关联交易10|担保事项3|
  事前认可和独立意见	=总数=15=未分类2|合同签订3|股份减持1|关联交易10|股份增持1|
 独立董事事前认可意见	=总数=16=未分类2|股份减持1|关联交易13|兼并收购3|
股权备案	=总数=9=股权激励8|关联交易1|兼并收购1|
奖励资金	=总数=12=获得奖项4|政府补贴8|
股股票之	=总数=7=股权激励1|增发6|
收购权益	=总数=15=兼并收购15|
事宜批复	=总数=8=配股1|增发5|资产重组2|
公司聘任	=总数=68=未分类1|高管变动67|
 公司聘任副	=总数=6=高管变动6|
 对公司聘任	=总数=9=高管变动9|
重组公告	=总数=499=交易异动1|资产重组499|
 重组牌公告	=总数=73=资产重组73|
 资产重组公告	=总数=493=资产重组493|
股东监事	=总数=5=高管变动5|
高级管理	=总数=258=未分类18|股份减持1|高管变动231|股份增持8|
 及高级管理人员	=总数=8=未分类1|高管变动7|
 聘任高级管理人员	=总数=170=高管变动170|
 部分高级管理人员	=总数=12=高管变动5|股份增持7|
 对公司高级管理人员	=总数=10=未分类1|高管变动9|
公司制药	=总数=7=债券发行1|未分类1|政府补贴1|兼并收购2|担保事项2|
出售进展	=总数=6=合同签订3|股份减持2|关联交易1|
光伏电站	=总数=10=未分类1|合同签订7|股份减持1|关联交易1|担保事项1|
委托协议	=总数=6=合同签订6|关联交易1|
股份发行	=总数=21=首发9|增发12|兼并收购4|股份增持1|
整改报告	=总数=15=未分类2|违规违纪13|
业绩预盈	=总数=66=业绩发布4|预增66|
 业绩预盈公告	=总数=61=预增61|
发明证书	=总数=27=专利获取27|
公司收到	=总数=61=未分类3|合同签订1|违规违纪3|专利获取1|政府补贴48|诉讼仲裁6|
拟所持有	=总数=20=股份减持13|增发2|兼并收购5|
 拟转让所持有	=总数=12=股份减持12|
选举监事	=总数=157=高管变动157|
项目报告	=总数=277=首发1|未分类33|股份减持100|关联交易1|增发60|资产重组2|业绩发布2|兼并收购76|担保事项1|股份增持5|
 所项目报告	=总数=21=未分类2|股份减持14|增发1|业绩发布1|兼并收购3|
  所项目评估报告	=总数=6=股份减持4|增发1|业绩发布1|
 收购项目报告	=总数=44=未分类1|兼并收购43|
 股份项目报告	=总数=22=股份减持1|增发19|兼并收购5|股份增持1|
 公司项目报告	=总数=43=未分类3|股份减持11|增发8|兼并收购20|股份增持1|
  公司拟项目评估报告	=总数=17=未分类1|股份减持4|增发1|兼并收购11|
   公司拟项目资产评估报告	=总数=13=股份减持4|增发1|兼并收购8|
 股权项目报告	=总数=144=未分类1|股份减持66|增发30|兼并收购46|股份增持5|
  股权评估项目评估报告书	=总数=8=股份减持4|兼并收购3|股份增持1|
 项目评估报告书	=总数=60=未分类5|股份减持31|增发1|资产重组1|兼并收购19|股份增持3|
  评估项目评估报告书	=总数=16=股份减持8|增发1|兼并收购6|股份增持1|
   评估项目资产评估报告书	=总数=15=股份减持8|增发1|兼并收购6|
    拟评估项目资产评估报告书	=总数=8=股份减持4|兼并收购4|
    资产评估项目资产评估报告书	=总数=5=股份减持4|增发1|
  拟项目资产评估报告书	=总数=38=未分类3|股份减持19|兼并收购14|股份增持2|
 值项目资产评估报告	=总数=24=未分类1|股份减持8|增发2|业绩发布2|兼并收购11|
 项目价值资产评估报告	=总数=19=未分类1|股份减持13|兼并收购5|
 拟转让资产项目评估报告	=总数=7=未分类1|股份减持6|
 及评估项目资产评估报告	=总数=5=股份减持2|增发2|兼并收购1|
 转让评估项目资产评估报告	=总数=10=股份减持9|兼并收购1|
股权获得	=总数=13=股份减持3|股权激励7|资产重组1|兼并收购2|股份增持1|
 股权获得批复	=总数=5=股份减持3|资产重组1|兼并收购1|股份增持1|
配股获得	=总数=9=配股9|
重新质押	=总数=10=质押10|
控股及增	=总数=11=兼并收购1|股份增持10|
股东解质	=总数=9=质押9|
调整方案	=总数=7=关联交易1|增发6|资产重组1|
获得批复	=总数=58=债券发行1|未分类7|股份减持4|股权激励1|配股2|增发35|资产重组5|兼并收购3|股份增持2|
 获得委批复	=总数=21=未分类1|股份减持1|股权激励1|配股1|增发14|资产重组3|股份增持1|
 资产获得批复	=总数=6=增发3|资产重组3|
 获得核准批复	=总数=19=未分类1|配股1|增发14|资产重组1|兼并收购2|
  申请获得核准批复	=总数=9=配股1|增发8|
发行文件	=总数=6=增发6|
股份项目	=总数=33=未分类3|股份减持2|增发25|兼并收购9|股份增持2|
 股份股权项目	=总数=25=股份减持2|增发20|兼并收购8|股份增持2|
  拟股份股权项目	=总数=21=增发19|兼并收购8|股份增持1|
 发行股份项目	=总数=25=增发25|兼并收购7|股份增持1|
股票有关	=总数=29=未分类1|股权激励14|增发14|
 公司股票有关	=总数=9=股权激励8|增发1|
发行购买	=总数=776=未分类3|合同签订3|股份减持1|关联交易167|增发771|资产重组62|兼并收购18|预增2|股份增持5|
 拟发行股份购买	=总数=50=增发49|兼并收购7|预增2|股份增持1|
  拟及发行股份购买	=总数=16=增发16|
  拟发行股份购买持有	=总数=14=增发14|
 发行股份购买所	=总数=11=增发11|兼并收购1|
 非公开发行购买	=总数=23=合同签订1|增发23|资产重组1|
 发行股份购买及	=总数=9=增发9|关联交易6|兼并收购6|
 及发行股份购买	=总数=159=未分类1|关联交易36|增发158|资产重组30|兼并收购2|
  资产及发行股份购买	=总数=48=关联交易33|增发48|资产重组29|
 发行股份购买涉及	=总数=14=增发14|兼并收购1|
 发行股份方式购买	=总数=22=关联交易1|增发22|资产重组1|
  以发行股份方式购买	=总数=21=关联交易1|增发21|
进展公告	=总数=1187=未分类189|违规违纪1|交易异动7|诉讼仲裁85|资产重组554|质押2|回购19|债券发行2|大宗交易1|合同签订53|股份减持46|政府补贴3|配股1|增发109|关联交易32|兼并收购65|担保事项23|股份增持17|
 大进展公告	=总数=521=未分类40|合同签订5|股份减持2|增发2|诉讼仲裁43|资产重组425|兼并收购4|质押1|
 实施进展公告	=总数=12=回购1|合同签订2|关联交易1|资产重组8|
 股权进展公告	=总数=10=股份减持6|兼并收购4|
 重大进展公告	=总数=519=未分类39|合同签订5|股份减持1|增发2|诉讼仲裁43|资产重组425|兼并收购4|质押1|
  重大进展情况公告	=总数=11=诉讼仲裁2|资产重组8|质押1|
 后续进展公告	=总数=8=未分类1|合同签订4|股份减持1|关联交易2|兼并收购1|
 转让进展公告	=总数=6=未分类1|股份减持5|
 发行进展公告	=总数=37=未分类1|增发36|
 关联进展公告	=总数=13=未分类1|增发1|关联交易12|兼并收购1|
  关联交易进展公告	=总数=13=增发1|关联交易13|兼并收购1|
 收购进展公告	=总数=11=未分类1|兼并收购10|
股东国有	=总数=10=未分类1|合同签订1|股份减持8|诉讼仲裁1|业绩发布1|股份增持4|
 股东国有股权	=总数=6=股份减持6|业绩发布1|股份增持3|
申请法律	=总数=9=首发1|兼并收购8|股份增持1|
事项签署	=总数=6=合同签订5|关联交易5|资产重组1|
所属股权	=总数=6=股份减持3|兼并收购3|
与意向书	=总数=12=合同签订11|股份减持1|关联交易1|增发1|兼并收购2|
 与签署意向书	=总数=7=合同签订7|关联交易1|
相互担保	=总数=9=担保事项9|
补充独立	=总数=7=未分类1|股权激励1|增发4|担保事项1|
股权股东	=总数=32=未分类2|股份减持20|诉讼仲裁1|增发1|兼并收购8|
 股权转让股东	=总数=16=股份减持15|诉讼仲裁1|
股份权益	=总数=10=增发9|兼并收购1|
投资关联	=总数=10=股份减持1|关联交易10|
 投资关联交易	=总数=8=关联交易8|
财务报告	=总数=189=未分类7|高管变动1|股权激励31|资产重组8|业绩发布83|质押1|预增2|回购1|合同签订1|股份减持1|关联交易12|增发35|兼并收购25|
 及财务报告	=总数=12=股权激励1|增发5|业绩发布4|兼并收购2|
  及之独立财务顾问报告	=总数=6=股权激励1|增发5|
 之财务报告	=总数=79=回购1|合同签订1|股权激励24|增发29|关联交易12|资产重组7|质押1|业绩发布1|兼并收购21|预增1|
  公司之财务顾问报告	=总数=48=合同签订1|股权激励25|增发6|资产重组2|质押1|兼并收购17|预增1|
   公司资产之独立财务顾问报告	=总数=7=增发6|资产重组1|兼并收购1|预增1|
   公司购买之独立财务顾问报告	=总数=7=合同签订1|增发6|资产重组1|质押1|兼并收购1|
  关联交易之独立财务顾问报告	=总数=12=增发10|关联交易12|资产重组3|
 公司财务报告	=总数=58=合同签订1|高管变动1|股权激励25|增发6|资产重组2|质押1|兼并收购17|业绩发布9|预增1|
 财务顾问报告	=总数=95=回购1|合同签订1|股权激励31|增发35|关联交易12|资产重组7|质押1|兼并收购25|预增1|
 备考财务报告	=总数=16=资产重组1|业绩发布15|
 股份财务报告	=总数=7=回购1|增发4|业绩发布2|
 资产财务报告	=总数=13=合同签订1|增发10|资产重组3|质押1|兼并收购2|预增1|
公司首次	=总数=91=未分类9|首发53|股权激励29|
 公司首次之	=总数=9=首发7|股权激励2|
 公司首次相关	=总数=9=首发1|股权激励8|
 公司首次公开发行	=总数=61=未分类8|首发53|
连带责任	=总数=9=担保事项9|
股权公开	=总数=12=合同签订1|股份减持3|股权激励2|增发7|业绩发布1|
筹划公告	=总数=16=未分类2|合同签订1|增发5|资产重组8|
 筹划事项牌公告	=总数=5=增发3|资产重组2|
控股借款	=总数=49=未分类2|合同签订1|关联交易38|担保事项10|
 向控股借款	=总数=25=关联交易25|
 控股及借款	=总数=6=关联交易4|担保事项2|
  控股股东及借款	=总数=5=关联交易5|
 控股提供借款	=总数=8=关联交易8|
 控股子公司借款提供担保	=总数=6=担保事项6|
公司实施	=总数=61=未分类5|合同签订1|股权激励9|预减4|增发14|资产重组1|兼并收购2|股份增持27|
 公司购买实施	=总数=14=增发12|资产重组1|兼并收购1|股份增持1|
 公司股票实施	=总数=7=未分类1|预减4|增发1|股份增持1|
 公司资产实施	=总数=13=增发12|资产重组1|兼并收购1|
 公司计划实施	=总数=20=股份增持20|
 公司实施情况	=总数=9=资产重组1|兼并收购1|股份增持8|
公司全部	=总数=36=未分类1|股份减持17|增发5|资产重组2|兼并收购10|担保事项1|
 公司全部权益	=总数=23=股份减持12|增发5|资产重组2|兼并收购4|
收购持有	=总数=17=关联交易3|兼并收购14|股份增持3|
 拟收购持有	=总数=10=兼并收购10|
协议转让	=总数=6=未分类1|合同签订2|股份减持6|股份增持3|
 协议转让股份	=总数=5=合同签订2|股份减持5|股份增持2|
转让完成	=总数=15=合同签订2|股份减持15|股份增持3|
 股权转让完成	=总数=6=股份减持6|
银行担保	=总数=95=关联交易4|担保事项95|
 银行及担保	=总数=8=担保事项8|
 向银行提供担保	=总数=19=担保事项19|
 银行贷款提供担保	=总数=8=担保事项8|
 公司银行提供担保	=总数=28=担保事项28|
 子公司银行提供担保	=总数=19=担保事项19|
 控股子公司银行担保	=总数=22=担保事项22|
 子公司银行贷款担保	=总数=7=担保事项7|
工程合同	=总数=20=合同签订20|
受托管理	=总数=8=债券发行2|关联交易6|
股股票及	=总数=8=股权激励4|增发4|
转让项目	=总数=96=未分类5|股份减持89|兼并收购1|股份增持1|
 转让股权项目	=总数=38=未分类1|股份减持36|股份增持1|
 公司转让项目	=总数=12=股份减持12|
 股权转让项目	=总数=29=未分类1|股份减持28|
 拟转让部分项目	=总数=7=未分类1|股份减持6|
 电拟转让项目评估	=总数=7=股份减持7|
 电转让项目电评估	=总数=5=股份减持5|
 转让项目评估说明	=总数=11=股份减持11|
 资产转让项目评估	=总数=5=股份减持5|
 转让给项目资产评估	=总数=5=股份减持5|
担保事项	=总数=37=担保事项37|
授予事项	=总数=85=股权激励85|
提供事项	=总数=11=未分类1|关联交易3|担保事项7|
 为子公司提供事项	=总数=5=关联交易3|担保事项2|
股票获得	=总数=148=未分类1|股权激励17|增发130|
 股票获得委员会	=总数=26=股权激励1|增发25|
延期公告	=总数=60=未分类6|股份减持1|高管变动2|增发7|资产重组44|
意见意见	=总数=5=增发1|关联交易5|资产重组1|
公司预计	=总数=45=关联交易42|担保事项3|
转让持有	=总数=39=股份减持38|股份增持1|
 转让其持有	=总数=16=股份减持16|
 拟转让持有股权	=总数=7=股份减持7|
交易补充	=总数=8=合同签订4|增发2|关联交易4|资产重组1|
收购股份	=总数=41=兼并收购41|
业绩公告	=总数=564=未分类4|大宗交易1|股份减持1|预减224|增发1|业绩发布255|预增259|担保事项3|
 业绩预公告	=总数=298=预减123|业绩发布1|预增175|
  业绩预亏公告	=总数=79=预减79|
 业绩预告公告	=总数=193=大宗交易1|股份减持1|预减98|增发1|业绩发布190|预增83|
 业绩更正公告	=总数=8=预减1|业绩发布8|预增2|
 季度业绩公告	=总数=7=预减3|增发1|业绩发布4|
 业绩补充公告	=总数=8=预减2|业绩发布7|预增4|
构成关联	=总数=6=合同签订4|关联交易6|
申请文件	=总数=10=配股1|关联交易3|增发8|资产重组2|
行动协议	=总数=10=合同签订10|关联交易1|
转让部分	=总数=29=首发1|未分类2|合同签订2|股份减持26|关联交易5|股份增持2|
 拟转让部分	=总数=13=首发1|未分类2|股份减持11|关联交易1|
 转让部分股权	=总数=12=股份减持12|关联交易3|
 股东转让部分	=总数=6=首发1|合同签订1|股份减持6|关联交易1|股份增持1|
 转让部分评估报告	=总数=9=未分类1|股份减持8|
资产重组	=总数=948=未分类2|合同签订2|交易异动1|关联交易15|增发25|资产重组944|业绩发布1|兼并收购3|
 资产重组获	=总数=20=资产重组20|兼并收购1|
 拟资产重组	=总数=8=资产重组8|
 资产重组牌	=总数=115=资产重组115|
 资产重组申请	=总数=13=资产重组13|
 公司资产重组	=总数=29=未分类1|合同签订1|资产重组27|兼并收购2|
  公司重大资产重组事项	=总数=9=资产重组8|兼并收购2|
 资金资产重组	=总数=8=增发7|关联交易7|资产重组8|
 资产重组材料	=总数=10=资产重组10|
 重大资产重组标	=总数=5=关联交易2|增发2|资产重组5|
 重大资产重组之	=总数=12=关联交易4|增发6|资产重组12|业绩发布1|
 重大资产重组及	=总数=12=资产重组12|业绩发布1|
 资产重组实现情况	=总数=7=关联交易1|资产重组6|
 重大资产重组实施	=总数=20=关联交易3|增发4|资产重组20|
 重大资产重组股票	=总数=7=资产重组7|
 资产重组资产情况	=总数=7=资产重组7|
 重大资产重组获得核准	=总数=6=资产重组6|
公司提示	=总数=28=回购1|债券发行1|未分类4|股份减持1|预减1|交易异动17|资产重组1|兼并收购2|
 公司提示公告	=总数=10=回购1|债券发行1|股份减持1|交易异动4|资产重组1|兼并收购2|
 公司股票风险提示	=总数=22=未分类4|预减1|交易异动17|
公司对外	=总数=79=未分类10|合同签订2|关联交易5|兼并收购3|担保事项64|
 公司及对外	=总数=12=未分类1|关联交易2|兼并收购1|担保事项10|
 公司对外担保	=总数=64=关联交易4|担保事项64|
  公司资金公司对外担保	=总数=6=担保事项6|
 公司对外情况	=总数=22=未分类1|担保事项21|
 公司子公司对外	=总数=9=关联交易1|兼并收购1|担保事项8|
解除公告	=总数=55=回购1|未分类5|合同签订1|股份减持1|股权激励3|诉讼仲裁1|增发5|质押40|股份增持1|
 股权解除公告	=总数=31=回购1|股权激励3|质押28|
期间报告	=总数=6=未分类1|业绩发布5|
签订资产	=总数=6=合同签订6|
支付资产	=总数=212=关联交易48|增发211|资产重组12|兼并收购1|股份增持4|
 公司支付资产	=总数=91=关联交易21|增发90|资产重组6|
调整发行	=总数=25=未分类1|增发24|
 调整公司发行	=总数=6=增发6|
 调整非公开发行	=总数=9=增发9|
股权说明	=总数=29=股份减持9|股权激励1|增发8|兼并收购13|
 股权评估说明	=总数=11=股份减持6|兼并收购5|
  股权项目评估说明	=总数=27=股份减持9|增发8|兼并收购12|
获得公告	=总数=7=债券发行1|专利获取1|股权激励1|政府补贴4|
股东过户	=总数=9=未分类1|合同签订2|股份减持6|兼并收购1|股份增持4|
股东持股	=总数=449=未分类4|大宗交易20|合同签订1|股份减持303|诉讼仲裁2|兼并收购2|质押25|担保事项1|股份增持114|
 控股股东持股	=总数=182=未分类2|股份减持76|诉讼仲裁2|质押11|担保事项1|股份增持91|
  控股股东人持股	=总数=55=合同签订1|股份减持31|股份增持24|
 股东持股比例	=总数=11=大宗交易1|股份减持10|兼并收购2|
收购股东	=总数=32=兼并收购31|股份增持1|
 收购股东资产	=总数=12=兼并收购12|
公司支付	=总数=99=未分类1|合同签订1|增发95|关联交易21|资产重组7|兼并收购1|
 公司及支付	=总数=95=未分类1|增发94|关联交易21|资产重组6|
对外关联	=总数=8=关联交易6|担保事项4|
全资提供	=总数=133=回购1|合同签订1|关联交易7|兼并收购1|担保事项127|
 对全资提供	=总数=10=关联交易2|担保事项8|
 为全资提供	=总数=104=回购1|合同签订1|关联交易4|担保事项102|
  为全资子公司提供	=总数=19=回购1|担保事项19|
 公司全资提供	=总数=14=回购1|担保事项14|
  公司全资提供担保	=总数=13=担保事项13|
 全资公司提供	=总数=27=关联交易5|担保事项26|
 全资提供担保	=总数=124=合同签订1|关联交易2|担保事项124|
 全资子公司提供	=总数=44=回购1|关联交易6|担保事项42|
公司配股	=总数=9=配股9|
发行工作	=总数=8=债券发行1|增发7|
激励股票	=总数=158=回购5|股权激励158|
 激励及股票	=总数=10=股权激励10|
 激励股票及	=总数=9=股权激励9|
 激励对象股票	=总数=56=股权激励56|
 激励股票股票	=总数=6=股权激励6|
 公司股票激励股票	=总数=7=股权激励7|
 激励限制性股票解锁	=总数=9=股权激励9|
及公告书	=总数=14=首发1|配股4|增发10|兼并收购2|
 及上市公告书	=总数=12=首发1|配股4|增发10|
  报告及上市公告书	=总数=7=增发7|
发行补充	=总数=17=首发1|未分类3|合同签订2|股份减持1|增发13|股份增持1|
 发行之补充	=总数=12=首发1|合同签订2|股份减持1|增发11|股份增持1|
会议审议	=总数=6=合同签订1|高管变动4|关联交易1|增发1|兼并收购1|
租赁合同	=总数=14=合同签订13|预减1|
 签订租赁合同	=总数=6=合同签订6|
修订说明	=总数=42=未分类3|股权激励17|增发18|关联交易5|资产重组5|
 修订说明公告	=总数=11=增发9|关联交易2|资产重组3|
额度担保	=总数=21=担保事项21|
持有公告	=总数=9=债券发行3|股份减持5|质押1|
股权调整	=总数=9=股权激励7|增发1|股份增持1|
获得奖励	=总数=8=获得奖项2|政府补贴6|
提供借款	=总数=21=未分类2|关联交易15|担保事项5|
 向提供借款	=总数=7=关联交易5|担保事项3|
要约股份	=总数=14=兼并收购12|股份增持2|
收到民事	=总数=11=诉讼仲裁11|
首次相关	=总数=19=首发1|未分类2|股权激励16|
签订委托	=总数=11=合同签订11|关联交易2|
资金股份	=总数=6=增发2|兼并收购3|股份增持1|
公司申请	=总数=95=债券发行28|首发3|未分类3|高管变动1|配股1|诉讼仲裁1|关联交易8|增发15|资产重组1|兼并收购5|担保事项30|
 公司为申请	=总数=14=担保事项14|
 本公司申请	=总数=6=增发2|关联交易4|
 公司向申请	=总数=23=未分类3|关联交易6|担保事项14|
 公司申请获得	=总数=29=债券发行23|配股1|增发6|
  发行公司申请获得	=总数=21=债券发行21|
 公司债券申请	=总数=26=债券发行26|
 受理公司申请	=总数=9=增发8|诉讼仲裁1|
 公司申请授信	=总数=37=未分类2|担保事项35|
 公司申请贷款	=总数=7=关联交易3|担保事项4|
 公司股东申请	=总数=6=关联交易2|担保事项4|
 公司子公司申请	=总数=9=关联交易1|担保事项8|
 公司申请审核通过	=总数=5=债券发行4|增发1|
提名新任	=总数=5=高管变动5|
持有公司	=总数=23=回购1|大宗交易1|未分类1|股份减持11|诉讼仲裁1|兼并收购1|质押9|
 持有公司股权	=总数=5=股份减持3|诉讼仲裁1|质押1|
 股东持有公司	=总数=10=回购1|诉讼仲裁1|质押9|
文化产业	=总数=5=股份减持1|政府补贴4|
与签订书	=总数=6=合同签订6|
人员股票	=总数=15=股权激励1|增发3|资产重组3|股份增持8|
 人员公司股票	=总数=10=未分类1|违规违纪1|股份增持8|
 公司人员股票	=总数=5=股权激励1|资产重组2|股份增持2|
 相关人员买卖股票	=总数=6=违规违纪1|增发3|资产重组2|
子公司金	=总数=9=未分类1|合同签订1|政府补贴1|关联交易3|担保事项3|
收购评估	=总数=73=未分类1|关联交易1|兼并收购71|股份增持1|
 拟收购评估	=总数=65=兼并收购64|股份增持1|
  拟收购项目评估说明	=总数=5=兼并收购5|
  拟收购资产项目评估	=总数=8=兼并收购8|
 收购股权评估	=总数=48=关联交易1|兼并收购47|股份增持1|
 收购项目评估	=总数=66=未分类1|兼并收购64|股份增持1|
  收购及项目评估	=总数=6=兼并收购6|
 收购价值评估报告	=总数=10=未分类1|兼并收购9|
及股票牌	=总数=8=未分类1|合同签订2|资产重组5|
重大重组	=总数=933=未分类2|合同签订2|交易异动1|关联交易15|增发25|资产重组929|业绩发布1|兼并收购3|
 重大重组事项	=总数=122=未分类1|关联交易1|增发3|资产重组120|兼并收购2|
股票交易	=总数=490=回购66|未分类4|首发1|合同签订2|交易异动392|关联交易19|增发23|资产重组3|业绩发布1|质押65|
 股股票交易	=总数=9=回购3|交易异动3|增发3|关联交易3|质押3|
 股票交易及	=总数=19=回购1|交易异动18|资产重组1|质押1|
 股票交易牌	=总数=22=未分类1|交易异动21|
  股票交易异常波动牌	=总数=36=交易异动36|
 股票交易公告	=总数=325=回购1|交易异动321|增发2|关联交易3|资产重组1|质押1|
 股票交易核查	=总数=24=交易异动23|增发1|
  股票交易异常波动核查	=总数=23=交易异动23|
 股票交易波动	=总数=390=交易异动390|资产重组1|
  股票交易异常波动自查	=总数=24=交易异动24|
  股票交易异常波动情况	=总数=13=交易异动13|
 股票交易事项	=总数=19=交易异动12|增发6|关联交易6|资产重组1|
  公司股票交易事项	=总数=5=增发4|关联交易4|资产重组1|
 股票交易自查	=总数=28=交易异动24|增发2|资产重组2|
 公司股票交易	=总数=22=回购6|未分类2|首发1|交易异动2|关联交易8|增发10|资产重组1|质押6|
 股票交易行为	=总数=6=增发4|资产重组2|
 股票关联交易	=总数=22=未分类2|增发19|关联交易19|
股股票和	=总数=9=未分类1|股权激励1|增发7|
备考报告	=总数=33=未分类1|资产重组1|业绩发布18|预增14|
 备考审计报告	=总数=15=资产重组1|业绩发布14|
购买交易	=总数=11=增发4|关联交易6|兼并收购1|
 购买资产交易	=总数=8=增发4|关联交易4|
发行对象	=总数=82=未分类1|合同签订2|关联交易3|增发80|资产重组2|股份增持1|
 及发行对象	=总数=6=未分类1|增发5|
 发行过程认购对象合规性之	=总数=6=增发6|
部门处罚	=总数=25=违规违纪25|
公司调整	=总数=66=未分类6|高管变动1|股权激励38|关联交易5|增发12|股份增持1|担保事项3|
 公司及调整	=总数=12=股权激励8|增发4|
 公司调整及	=总数=21=股权激励18|增发3|
 公司调整之	=总数=7=股权激励3|增发4|
 公司和调整	=总数=5=股权激励3|增发1|担保事项1|
 公司股票调整	=总数=14=股权激励13|增发1|
 公司调整计划	=总数=10=股权激励9|股份增持1|
 公司调整股票	=总数=13=股权激励12|增发1|
  公司调整股票数量	=总数=5=股权激励5|
  公司调整股票激励	=总数=11=股权激励11|
  公司调整限制性股票	=总数=5=股权激励5|
 公司调整相关	=总数=8=未分类1|股权激励7|
 公司发行调整	=总数=7=增发7|
诉讼事项	=总数=55=诉讼仲裁55|
政府补助	=总数=115=政府补贴115|
签署股份	=总数=7=合同签订7|股份减持2|增发2|关联交易1|股份增持2|
 签署股份协议	=总数=5=合同签订5|股份减持1|增发2|股份增持1|
过户情况	=总数=13=股份减持1|增发10|关联交易4|资产重组3|
 资产过户情况	=总数=12=增发10|关联交易4|资产重组3|
激励对象	=总数=262=回购5|股权激励261|
 权激励对象	=总数=12=股权激励12|
 及激励对象	=总数=7=股权激励7|
 对激励对象	=总数=26=股权激励26|
 激励对象与	=总数=8=股权激励8|
 激励对象及	=总数=41=股权激励41|
 激励对象和	=总数=10=股权激励10|
 计划激励对象	=总数=138=股权激励138|
 激励对象授予	=总数=71=股权激励71|
 股票激励对象	=总数=172=股权激励172|
 预留激励对象	=总数=8=股权激励8|
 调整激励对象	=总数=29=股权激励29|
 激励对象相关	=总数=10=股权激励10|
 限制性激励对象	=总数=26=股权激励26|
 股权激励激励对象	=总数=16=股权激励16|
配股结果	=总数=6=配股6|
获得资金	=总数=32=未分类1|获得奖项2|政府补贴29|
 公司获得资金	=总数=5=获得奖项1|政府补贴4|
 获得政府资金	=总数=6=政府补贴6|
 子公司获得资金	=总数=9=政府补贴9|
全部评估	=总数=73=未分类1|股份减持36|增发3|资产重组2|兼并收购30|股份增持1|担保事项1|
 全部资产评估	=总数=55=未分类2|股份减持23|增发8|资产重组3|兼并收购19|
  全部权益资产评估	=总数=68=未分类2|股份减持28|增发11|资产重组2|业绩发布1|兼并收购24|
   全部权益项目资产评估	=总数=25=股份减持9|增发4|兼并收购11|业绩发布1|
    全部权益评估项目资产评估	=总数=12=股份减持5|增发1|兼并收购6|
  拟全部资产评估报告	=总数=8=股份减持1|增发2|资产重组2|兼并收购3|
 全部评估报告书	=总数=5=股份减持2|资产重组1|兼并收购2|
 全部权益评估说明	=总数=17=股份减持7|增发1|资产重组1|兼并收购8|
公开方案	=总数=5=债券发行1|增发4|
 非公开发行方案	=总数=13=增发13|
控股结果	=总数=14=未分类2|股份减持1|诉讼仲裁1|股份增持10|
 控股股东结果	=总数=9=未分类1|股份增持8|
风险特别	=总数=8=未分类1|首发7|
股票意见	=总数=7=未分类1|股权激励5|增发1|
计划股票	=总数=107=回购4|股份减持3|股权激励102|诉讼仲裁1|股份增持1|
 计划股票权	=总数=28=股份减持3|股权激励25|
 公司计划股票	=总数=52=回购2|股份减持1|股权激励50|股份增持1|
首次结果	=总数=6=未分类1|首发5|
公司审核	=总数=41=债券发行20|未分类3|股权激励1|预减2|增发5|资产重组1|业绩发布1|兼并收购1|预增8|
 公司发行审核	=总数=9=债券发行7|增发2|
 公司审核报告	=总数=14=未分类2|预减2|增发1|兼并收购1|业绩发布1|预增8|
 公司债券获得审核通过	=总数=13=债券发行13|
发行说明	=总数=9=首发1|增发8|兼并收购3|
发行过程	=总数=84=未分类1|关联交易3|增发83|资产重组2|
 发行过程及	=总数=16=增发16|
 公开发行过程	=总数=6=未分类1|增发5|
