补助资金	=总数=49=政府补贴49|
 集团公司拟股权项目评估	=总数=7=股份减持5|增发2|
发行交易	=总数=26=未分类2|关联交易19|增发24|
 公司发行及交易	=总数=5=关联交易3|增发5|
股票事宜	=总数=36=回购13|股权激励16|增发8|诉讼仲裁1|
 公司股票事宜	=总数=22=回购12|股权激励11|增发1|
  公司股票相关事宜	=总数=13=回购7|股权激励6|
 股票相关事宜	=总数=19=回购9|股权激励10|增发1|
 计划股票事宜	=总数=8=回购1|股权激励7|诉讼仲裁1|
 限制性股票事宜	=总数=21=回购13|股权激励10|
转让技术	=总数=5=股份减持5|
股权购买	=总数=9=增发7|关联交易2|
实施计划	=总数=13=回购1|股权激励12|
拟新公司	=总数=8=未分类1|股份减持2|关联交易1|兼并收购2|股份增持1|担保事项1|
 拟新公司资产	=总数=5=股份减持1|关联交易1|兼并收购2|股份增持1|
 拟新有限公司	=总数=6=股份减持2|关联交易1|兼并收购1|股份增持1|担保事项1|
本次公司	=总数=5=债券发行3|股权激励1|兼并收购1|
公司董事	=总数=202=未分类8|合同签订1|股份减持3|高管变动182|股权激励1|增发1|关联交易2|资产重组1|兼并收购2|担保事项1|股份增持4|
 公司董事副	=总数=5=高管变动5|
 公司董事及	=总数=8=高管变动7|增发1|关联交易1|
 公司及董事	=总数=5=高管变动2|增发1|关联交易2|资产重组1|
 为公司董事	=总数=7=高管变动7|
 公司董事高	=总数=17=未分类1|股份减持1|高管变动11|股份增持4|
  公司董事高管	=总数=7=高管变动6|股份增持1|
 公司董事公司	=总数=6=高管变动1|增发1|关联交易1|股份增持4|
 公司独立董事	=总数=25=未分类4|高管变动19|股份减持1|股权激励1|
 聘任公司董事	=总数=20=高管变动20|
 公司董事董事	=总数=6=高管变动6|
有限公司	=总数=375=未分类55|违规违纪1|诉讼仲裁8|资产重组4|业绩发布21|预增10|回购1|首发1|合同签订24|股份减持58|预减3|政府补贴6|增发21|关联交易40|兼并收购90|股份增持17|担保事项35|
 所有限公司	=总数=10=股份减持8|兼并收购2|
 堂有限公司	=总数=10=股份减持1|兼并收购9|
  收购堂有限公司	=总数=8=兼并收购8|
  永孜堂制药有限公司	=总数=5=兼并收购5|
 大有限公司	=总数=12=股份减持4|业绩发布2|兼并收购5|股份增持1|
  拟大有限公司	=总数=5=股份减持2|兼并收购3|
  收购大有限公司	=总数=5=兼并收购5|
  大有限公司股权	=总数=7=股份减持2|兼并收购4|股份增持1|
  大有限公司评估	=总数=5=股份减持2|兼并收购3|
  辰溪大洑潭水电有限公司	=总数=7=股份减持4|业绩发布2|股份增持1|
 冠有限公司	=总数=5=股份减持2|兼并收购1|业绩发布2|
 新有限公司	=总数=28=未分类1|合同签订1|股份减持7|政府补贴1|关联交易1|增发2|诉讼仲裁2|业绩发布2|兼并收购3|预增1|股份增持3|担保事项4|
  新有限公司转让	=总数=5=股份减持5|
  新材料有限公司	=总数=12=未分类1|政府补贴1|增发1|诉讼仲裁2|兼并收购2|业绩发布1|预增1|股份增持3|
   有新材料有限公司	=总数=5=政府补贴1|业绩发布1|股份增持3|
   稀土新材料有限公司	=总数=5=诉讼仲裁2|预增1|股份增持2|
   新材料有限公司股权	=总数=6=增发1|兼并收购2|股份增持3|
  公司新有限公司	=总数=9=股份减持3|兼并收购1|股份增持2|担保事项3|
   公司新有限公司股权	=总数=5=股份减持2|兼并收购1|股份增持2|
  新投资有限公司	=总数=5=合同签订1|业绩发布1|股份增持3|
  新有限公司资产	=总数=6=股份减持3|关联交易1|兼并收购1|股份增持1|
  新有限公司股权	=总数=12=股份减持5|增发1|兼并收购3|股份增持3|
  新股份有限公司	=总数=7=股份减持2|关联交易1|增发1|诉讼仲裁2|预增1|
  新有限公司报告	=总数=10=股份减持3|增发2|兼并收购1|业绩发布2|预增1|股份增持1|
   新有限公司评估报告	=总数=7=股份减持3|增发2|兼并收购1|股份增持1|
  新能源有限公司	=总数=5=合同签订1|关联交易1|增发1|担保事项2|
  子公司新有限公司	=总数=6=股份减持3|兼并收购1|担保事项2|
 拟有限公司	=总数=33=合同签订2|股份减持7|关联交易3|增发3|兼并收购16|股份增持1|担保事项1|
  拟有限公司资产	=总数=12=股份减持3|关联交易1|增发3|兼并收购4|股份增持1|
 有限公司与	=总数=7=未分类1|合同签订2|股份减持1|关联交易2|兼并收购1|
  子公司有限公司与	=总数=5=合同签订1|股份减持1|关联交易2|兼并收购1|
 有限公司之	=总数=18=未分类2|合同签订4|股份减持2|关联交易1|增发2|兼并收购9|股份增持2|
  有限公司股权之	=总数=5=股份减持1|兼并收购4|
  有限公司之报告	=总数=5=兼并收购5|
 有限公司股	=总数=157=回购1|首发1|未分类6|合同签订4|股份减持48|关联交易1|增发16|兼并收购73|股份增持15|
 有限公司合	=总数=11=未分类1|合同签订8|增发3|业绩发布1|担保事项1|股份增持2|
 以有限公司	=总数=7=增发3|兼并收购4|
 有限公司和	=总数=5=政府补贴1|增发1|股份增持3|
 对有限公司	=总数=12=未分类2|关联交易5|兼并收购1|担保事项4|
  对有限责任公司	=总数=6=关联交易5|担保事项1|
 持有限公司	=总数=11=股份减持8|兼并收购1|股份增持2|
 信有限公司	=总数=13=未分类1|首发1|股份减持1|关联交易1|业绩发布1|兼并收购3|预增1|股份增持4|
  收购信有限公司	=总数=5=兼并收购2|股份增持3|
  信有限公司报告	=总数=5=业绩发布1|兼并收购2|预增1|股份增持1|
  信投资有限公司	=总数=6=业绩发布1|兼并收购1|股份增持4|
   和有信材料投资有限公司	=总数=5=业绩发布1|股份增持4|
  信有限公司股权	=总数=5=兼并收购1|股份增持4|
 保有限公司	=总数=6=未分类1|关联交易2|业绩发布2|预增1|
 能有限公司	=总数=10=未分类1|合同签订1|关联交易4|增发2|兼并收购1|预增1|
 有限公司拟	=总数=20=未分类3|股份减持7|增发1|兼并收购8|股份增持1|
  有限公司拟转让	=总数=7=股份减持7|
  有限公司拟项目	=总数=15=未分类1|股份减持6|增发1|兼并收购7|
   有限公司拟项目资产评估	=总数=13=股份减持5|增发1|兼并收购7|
   投资有限公司拟项目评估报告	=总数=8=未分类1|兼并收购7|
  有限公司拟股权	=总数=14=股份减持5|兼并收购8|股份增持1|
 和有限公司	=总数=19=未分类1|合同签订1|违规违纪1|诉讼仲裁1|关联交易9|业绩发布2|兼并收购2|担保事项4|股份增持4|
  和有限公司信	=总数=6=关联交易3|担保事项3|股份增持3|
  和有限责任公司	=总数=5=合同签订1|关联交易3|业绩发布1|担保事项3|
  和股份有限公司	=总数=5=兼并收购2|股份增持3|
 开有限公司	=总数=8=增发2|兼并收购3|预增1|担保事项2|
  科开医药有限公司	=总数=6=增发2|兼并收购3|预增1|
 业有限公司	=总数=65=未分类10|违规违纪1|诉讼仲裁2|业绩发布5|预增1|回购1|合同签订4|股份减持13|预减1|增发1|关联交易5|兼并收购17|担保事项8|股份增持2|
  茶业有限公司	=总数=9=股份减持1|兼并收购6|业绩发布2|预增1|
   茶业有限公司股权	=总数=6=股份减持1|兼并收购5|
    怡清源茶业有限公司股权	=总数=5=兼并收购5|
   怡清源茶业有限公司	=总数=8=兼并收购6|业绩发布2|预增1|
  业有限公司股权	=总数=20=合同签订1|股份减持8|兼并收购12|
   收购业有限公司股权	=总数=6=兼并收购6|
  业有限公司报告	=总数=14=未分类1|股份减持3|预减1|兼并收购5|业绩发布4|预增1|
  子公司业有限公司	=总数=9=未分类1|兼并收购4|担保事项4|
  业有限公司股东全部权益	=总数=5=股份减持4|兼并收购1|
 电有限公司	=总数=31=未分类4|合同签订4|股份减持5|政府补贴1|增发2|关联交易5|兼并收购2|业绩发布4|预增3|担保事项2|股份增持1|
  电有限公司报告	=总数=7=股份减持1|增发1|业绩发布3|预增2|
 为有限公司	=总数=31=未分类1|股份减持1|关联交易4|担保事项29|
  为有限责任公司	=总数=5=股份减持1|关联交易4|担保事项4|
  公司为有限公司	=总数=11=未分类1|关联交易4|担保事项10|
  为能源有限公司提供担保	=总数=5=担保事项5|
 诚有限公司	=总数=6=未分类1|合同签订1|股份减持2|兼并收购1|担保事项1|
 与有限公司	=总数=24=未分类1|合同签订9|股份减持1|关联交易12|增发3|兼并收购3|担保事项1|股份增持2|
  公司与有限公司	=总数=8=未分类1|合同签订3|增发2|关联交易4|担保事项1|股份增持2|
 源有限公司	=总数=20=未分类1|合同签订1|股份减持2|关联交易1|增发1|兼并收购6|业绩发布2|预增2|担保事项5|
  源有限公司股权	=总数=6=股份减持1|兼并收购5|
 佳有限公司	=总数=8=股份减持4|兼并收购3|担保事项1|
  佳有限公司股权	=总数=6=股份减持3|兼并收购3|
 中有限公司	=总数=22=未分类2|合同签订1|股份减持6|预减1|增发2|关联交易2|业绩发布1|兼并收购6|股份增持2|
  中股份有限公司	=总数=9=股份减持4|增发2|兼并收购4|
 煤有限公司	=总数=6=未分类1|合同签订3|股份减持1|关联交易1|诉讼仲裁1|
 正有限公司	=总数=5=合同签订1|股份减持2|关联交易1|业绩发布1|
 乐有限公司	=总数=5=股份减持4|业绩发布1|
 怡有限公司	=总数=10=股份减持1|兼并收购7|业绩发布2|预增1|
  怡有限公司股权	=总数=7=股份减持1|兼并收购6|
   收购怡有限公司股权	=总数=5=兼并收购5|
 捷有限公司	=总数=6=股份减持4|增发1|预增1|
 利有限公司	=总数=10=未分类1|关联交易8|业绩发布1|担保事项4|
  子公司利有限公司	=总数=9=未分类1|关联交易8|担保事项4|
 有限公司财务	=总数=13=未分类1|兼并收购2|业绩发布10|
  有限公司财务报告	=总数=7=兼并收购1|业绩发布6|
 有限公司资产	=总数=35=未分类2|股份减持11|关联交易1|增发8|兼并收购12|股份增持1|
  有限公司资产评估	=总数=26=股份减持9|增发7|兼并收购9|股份增持1|
   股份有限公司资产评估	=总数=6=股份减持2|增发3|股份增持1|
 有限公司部分	=总数=13=股份减持4|增发1|兼并收购7|股份增持1|
  有限公司部分股权	=总数=9=股份减持2|兼并收购7|
   收购有限公司部分股权	=总数=5=兼并收购5|
 有限公司股东	=总数=21=未分类2|股份减持7|增发5|兼并收购7|
