      全资子公司某公司授信担保	=总数=8=关联交易3|担保事项8|
   公司某公司授信	=总数=24=关联交易3|担保事项24|
    子公司某公司授信	=总数=20=关联交易3|担保事项20|
     公司子公司某公司授信	=总数=7=担保事项7|
     下属子公司某公司授信	=总数=7=担保事项7|
     子公司某公司授信提供担保	=总数=8=担保事项8|
      为子公司某公司授信提供担保	=总数=6=担保事项6|
   为某公司授信提供担保	=总数=10=担保事项10|
  公司授信担保	=总数=66=关联交易4|担保事项66|
  公司授信提供担保	=总数=53=担保事项53|
 申请授信	=总数=57=未分类15|合同签订2|关联交易1|担保事项39|
  向申请授信	=总数=31=未分类11|合同签订2|关联交易1|担保事项17|
   向申请授信担保	=总数=8=担保事项8|
   向申请授信提供担保	=总数=7=担保事项7|
    为向申请授信提供担保	=总数=5=担保事项5|
  公司申请授信	=总数=36=未分类3|关联交易1|担保事项32|
   子公司申请授信	=总数=24=未分类1|担保事项23|
    全资子公司申请授信	=总数=11=未分类1|担保事项10|
     全资子公司申请授信提供担保	=总数=6=担保事项6|
    子公司申请授信担保	=总数=13=担保事项13|
    控股子公司申请授信	=总数=5=担保事项5|
    子公司申请授信提供担保	=总数=19=担保事项19|
     为子公司申请授信提供担保	=总数=12=担保事项12|
   某公司申请授信	=总数=11=关联交易1|担保事项10|
    向某公司申请授信	=总数=5=关联交易1|担保事项4|
    某公司申请授信担保	=总数=8=担保事项8|
    某公司申请授信提供担保	=总数=9=担保事项9|
     为某公司申请授信提供担保	=总数=7=担保事项7|
     子公司某公司申请授信提供担保	=总数=5=担保事项5|
   公司申请授信担保	=总数=20=担保事项20|
  申请授信担保	=总数=25=担保事项25|
  向银行申请授信	=总数=25=未分类11|合同签订1|担保事项13|
   公司向银行申请授信	=总数=13=未分类5|担保事项8|
    子公司向银行申请授信	=总数=6=未分类1|担保事项5|
  申请授信提供担保	=总数=27=担保事项27|
   为申请授信提供担保	=总数=21=担保事项21|
 授信担保	=总数=75=关联交易4|担保事项75|
  为授信担保	=总数=43=关联交易4|担保事项43|
  银行授信担保	=总数=55=关联交易3|担保事项55|
   为银行授信担保	=总数=16=关联交易3|担保事项16|
   银行授信担保事项	=总数=5=担保事项5|
   公司银行授信担保	=总数=49=关联交易3|担保事项49|
    子公司银行授信担保	=总数=45=关联交易3|担保事项45|
     为子公司银行授信担保	=总数=32=担保事项32|
     公司子公司银行授信担保	=总数=7=担保事项7|
     全资子公司银行授信担保	=总数=25=关联交易3|担保事项25|
      为全资子公司银行授信担保	=总数=15=担保事项15|
     为控股子公司银行授信担保	=总数=11=担保事项11|
    某公司银行授信担保	=总数=11=关联交易3|担保事项11|
     子公司某公司银行授信担保	=总数=9=关联交易3|担保事项9|
      为子公司某公司银行授信担保	=总数=5=担保事项5|
      全资子公司某公司银行授信担保	=总数=5=关联交易3|担保事项5|
    为公司银行授信担保	=总数=7=关联交易3|担保事项7|
   申请银行授信担保	=总数=16=担保事项16|
    公司申请银行授信担保	=总数=14=担保事项14|
     子公司申请银行授信担保	=总数=12=担保事项12|
  为提供授信担保	=总数=7=关联交易4|担保事项7|
  某公司提供授信担保	=总数=6=关联交易3|担保事项6|
   子公司某公司提供授信担保	=总数=5=关联交易3|担保事项5|
 银行授信	=总数=80=未分类15|合同签订1|关联交易3|担保事项64|
  向银行授信	=总数=14=未分类4|担保事项10|
  申请银行授信	=总数=24=未分类4|担保事项20|
   公司申请银行授信	=总数=18=担保事项18|
    子公司申请银行授信提供担保	=总数=14=担保事项14|
     为子公司申请银行授信提供担保	=总数=12=担保事项12|
     全资子公司申请银行授信提供担保	=总数=10=担保事项10|
      为全资子公司申请银行授信提供担保	=总数=8=担保事项8|
   申请银行授信提供担保	=总数=18=担保事项18|
    为申请银行授信提供担保	=总数=14=担保事项14|
  公司银行授信	=总数=59=未分类5|关联交易3|担保事项54|
   子公司银行授信	=总数=47=未分类1|关联交易3|担保事项46|
    公司子公司银行授信	=总数=10=担保事项10|
     公司子公司银行授信提供担保	=总数=8=担保事项8|
    全资子公司银行授信	=总数=27=未分类1|关联交易3|担保事项26|
     全资子公司银行授信提供担保	=总数=22=担保事项22|
      为全资子公司银行授信提供担保	=总数=15=担保事项15|
      公司全资子公司银行授信提供担保	=总数=6=担保事项6|
    子公司银行授信提供担保	=总数=38=担保事项38|
     为子公司银行授信提供担保	=总数=29=担保事项29|
     为控股子公司银行授信提供担保	=总数=12=担保事项12|
   公司银行授信提供担保	=总数=42=担保事项42|
    某公司银行授信提供担保	=总数=7=担保事项7|
     为某公司银行授信提供担保	=总数=5=担保事项5|
  银行授信提供担保	=总数=45=担保事项45|
   为银行授信提供担保	=总数=32=担保事项32|
    公司为银行授信提供担保	=总数=6=担保事项6|
 授信提供担保	=总数=59=担保事项59|
  为授信提供担保	=总数=26=担保事项26|
授予	=总数=228=回购7|未分类3|股权激励218|
 权授予	=总数=92=回购2|未分类2|股权激励88|
  权授予数量	=总数=14=回购2|未分类1|股权激励11|
   股票期权授予数量	=总数=12=回购2|股权激励10|
    调整股票期权授予数量	=总数=7=回购2|股权激励5|
  股票期权授予	=总数=88=回购2|股权激励86|
   股票期权授予及	=总数=5=回购2|股权激励3|
   股票期权授予行权	=总数=10=回购2|股权激励8|
    股票期权授予行权注销	=总数=5=回购2|股权激励3|
   股票期权授予股票	=总数=6=回购2|股权激励4|
   股票期权授予注销	=总数=5=回购2|股权激励3|
   股票股票期权授予	=总数=13=股权激励13|
   股票期权授予事项	=总数=26=股权激励26|
    股票期权激励计划股票期权授予事项	=总数=7=股权激励7|
   预留股票期权授予	=总数=6=股权激励6|
    股票期权激励计划预留股票期权授予	=总数=5=股权激励5|
   股票期权授予完成	=总数=17=股权激励17|
   股票期权授予相关事项	=总数=19=股权激励19|
    股票期权激励计划股票期权授予相关事项	=总数=7=股权激励7|
   股票期权授予登记完成	=总数=12=股权激励12|
   股票期权激励计划股票期权授予	=总数=13=股权激励13|
    公司股票期权激励计划股票期权授予	=总数=5=股权激励5|
  预留期权授予	=总数=10=股权激励10|
   预留期权授予事项	=总数=7=股权激励7|
    股票期权激励计划预留期权授予事项	=总数=6=股权激励6|
     公司股票期权激励计划预留期权授予事项	=总数=5=股权激励5|
   股票期权激励计划预留期权授予	=总数=9=股权激励9|
    股票期权激励计划预留期权授予相关事项	=总数=5=股权激励5|
  股票期权激励计划期权授予	=总数=18=股权激励18|
   股票期权激励计划期权授予事项	=总数=8=股权激励8|
   公司股票期权激励计划期权授予	=总数=8=股权激励8|
 及授予	=总数=31=股权激励31|
  激励及授予	=总数=15=股权激励15|
   股票激励及授予	=总数=13=股权激励13|
    公司股票激励及授予	=总数=5=股权激励5|
    限制性股票激励及授予	=总数=8=股权激励8|
   股票期权激励及授予	=总数=5=股权激励5|
  调整及授予	=总数=23=股权激励23|
   调整及授予事项	=总数=8=股权激励8|
    限制性股票激励计划调整及授予事项	=总数=5=股权激励5|
   股票激励计划调整及授予	=总数=7=股权激励7|
    公司股票激励计划调整及授予	=总数=5=股权激励5|
  股票及授予	=总数=19=股权激励19|
   调整股票及授予	=总数=5=股权激励5|
   限制性股票及授予	=总数=10=股权激励10|
    公司限制性股票及授予	=总数=5=股权激励5|
  股票授予及授予	=总数=6=股权激励6|
  激励对象及授予数量	=总数=18=股权激励18|
   股票激励对象及授予数量	=总数=15=股权激励15|
    调整股票激励对象及授予数量	=总数=8=股权激励8|
    限制性股票激励对象及授予数量	=总数=7=股权激励7|
     调整限制性股票激励对象及授予数量	=总数=5=股权激励5|
   调整激励对象及授予数量	=总数=6=股权激励6|
   股票期权激励对象及授予数量	=总数=10=股权激励10|
    调整股票期权激励对象及授予数量	=总数=5=股权激励5|
   股票激励计划激励对象及授予数量	=总数=5=股权激励5|
   股票期权激励计划激励对象及授予数量	=总数=6=股权激励6|
  股票激励计划及授予	=总数=18=股权激励18|
   公司股票激励计划及授予	=总数=6=股权激励6|
   限制性股票激励计划及授予	=总数=11=股权激励11|
    公司限制性股票激励计划及授予	=总数=7=股权激励7|
     公司限制性股票激励计划及授予事项	=总数=6=股权激励6|
    限制性股票激励计划及授予事项	=总数=7=股权激励7|
  股票期权激励计划及授予	=总数=7=股权激励7|
  激励对象名单及授予数量	=总数=12=股权激励12|
   股票激励对象名单及授予数量	=总数=10=股权激励10|
    调整股票激励对象名单及授予数量	=总数=5=股权激励5|
    限制性股票激励对象名单及授予数量	=总数=6=股权激励6|
   调整激励对象名单及授予数量	=总数=9=股权激励9|
   股票期权激励对象名单及授予数量	=总数=5=股权激励5|
   股票激励计划激励对象名单及授予数量	=总数=7=股权激励7|
  股票期权激励计划对象及授予数量	=总数=5=股权激励5|
  股票激励计划激励对象名单及授予	=总数=9=股权激励9|
  股票期权激励对象人数及授予期权数量	=总数=5=股权激励5|
 对授予	=总数=5=股权激励5|
 已授予	=总数=21=回购5|股权激励16|
  部分已授予	=总数=13=回购4|股权激励9|
   部分已授予股票	=总数=10=回购4|股权激励6|
    注销部分已授予股票	=总数=6=回购4|股权激励2|
    激励计划部分已授予股票期权	=总数=5=股权激励5|
   注销部分已授予限制性股票	=总数=5=回购4|股权激励1|
   股票期权激励计划部分已授予注销	=总数=5=股权激励5|
   股票期权激励计划部分已授予期权	=总数=5=股权激励5|
  已授予股票	=总数=17=回购5|股权激励12|
   激励已授予股票	=总数=10=回购1|股权激励9|
    激励已授予股票注销	=总数=9=回购1|股权激励8|
     激励已授予股票注销完成	=总数=7=回购1|股权激励6|
      股权激励已授予股票注销完成	=总数=6=回购1|股权激励5|
    激励已授予股票期权注销	=总数=6=股权激励6|
   激励计划已授予股票期权	=总数=6=股权激励6|
    激励计划已授予股票期权注销	=总数=5=股权激励5|
  已授予限制性股票	=总数=10=回购5|股权激励5|
   注销已授予限制性股票	=总数=7=回购4|股权激励3|
  激励已授予注销完成	=总数=7=回购1|股权激励6|
  激励计划已授予期权	=总数=8=股权激励8|
   激励计划已授予期权注销	=总数=7=股权激励7|
    激励计划已授予期权注销完成	=总数=5=股权激励5|
 授予和	=总数=6=回购2|未分类1|股权激励3|
  股票授予和	=总数=5=回购2|未分类1|股权激励2|
 授予及	=总数=15=回购2|股权激励13|
  股票授予及	=总数=9=股权激励9|
  股票激励计划授予及	=总数=7=股权激励7|
 计划授予	=总数=122=股权激励122|
  激励计划授予	=总数=121=股权激励121|
   公司激励计划授予	=总数=44=股权激励44|
    某公司激励计划授予	=总数=8=股权激励8|
