平安银行股份有限公司	平安银行
北京天坛生物制品股份有限公司	天坛生物
深圳香江控股股份有限公司	香江控股
福建省南纸股份有限公司	福建南纸
宁夏新日恒力钢丝绳股份有限公司	新日恒力
北汽福田汽车股份有限公司	福田汽车
联美控股股份有限公司	联美控股
武汉三镇实业控股股份有限公司	武汉控股
太原重工股份有限公司	太原重工
上海建工集团股份有限公司	上海建工
上海贝岭股份有限公司	上海贝岭
河南黄河旋风股份有限公司	黄河旋风
卧龙地产集团股份有限公司	卧龙地产
美都控股股份有限公司	美都控股
中国玻纤股份有限公司	中国玻纤
雅戈尔集团股份有限公司	雅戈尔
哈尔滨东安汽车动力股份有限公司	东安动力
黑龙江黑化股份有限公司	黑化股份
瑞茂通供应链管理股份有限公司	瑞茂通
云大科技股份有限公司	云大科技
佳通轮胎股份有限公司	佳通轮胎
广东生益科技股份有限公司	生益科技
北方光电股份有限公司	光电股份
格力地产股份有限公司	格力地产
河南莲花味精股份有限公司	莲花味精
黑龙江国中水务股份有限公司	国中水务
兖州煤业股份有限公司	兖州煤业
吉林森林工业股份有限公司	吉林森工
锦州港股份有限公司	锦州港
锦州港股份有限公司	锦州港
包头华资实业股份有限公司	华资实业
兰州长城电工股份有限公司	长城电工
上海创兴资源开发股份有限公司	创兴资源
中牧实业股份有限公司	中牧股份
上海复星医药(集团)股份有限公司	复星医药
新疆伊力特实业股份有限公司	伊力特
大唐电信科技股份有限公司	大唐电信
安徽金种子酒业股份有限公司	金种子酒
江苏吴中实业股份有限公司	江苏吴中
内蒙古金宇集团股份有限公司	金宇集团
哈尔滨空调股份有限公司	哈空调
福建福日电子股份有限公司	福日电子
山东铝业股份有限公司	山东铝业
有研半导体材料股份有限公司	有研硅股
河南安彩高科股份有限公司	安彩高科
新湖中宝股份有限公司	新湖中宝
罗顿发展股份有限公司	罗顿发展
上海紫江企业集团股份有限公司	紫江企业
西藏诺迪康药业股份有限公司	西藏药业
山东江泉实业股份有限公司	江泉实业
扬州亚星客车股份有限公司	亚星客车
长春经开(集团)股份有限公司	长春经开
浙江医药股份有限公司	浙江医药
陕西秦岭水泥(集团)股份有限公司	秦岭水泥
安徽全柴动力股份有限公司	全柴动力
山东南山铝业股份有限公司	南山铝业
江苏阳光股份有限公司	江苏阳光
海南航空股份有限公司	海南航空
海南航空股份有限公司	海南航空
河南太龙药业股份有限公司	太龙药业
鲁商置业股份有限公司	鲁商置业
天津松江股份有限公司	天津松江
浙江升华拜克生物股份有限公司	升华拜克
贵州赤天化股份有限公司	赤天化
江西昌九生物化工股份有限公司	昌九生化
青岛碱业股份有限公司	青岛碱业
沧州大化股份有限公司	沧州大化
凌源钢铁股份有限公司	凌钢股份
浙江金鹰股份有限公司	金鹰股份
大连大杨创世股份有限公司	大杨创世
太原天龙集团股份有限公司	太原天龙集团
民丰特种纸股份有限公司	民丰特纸
广西桂冠电力股份有限公司	桂冠电力
安徽铜峰电子股份有限公司	铜峰电子
海南椰岛(集团)股份有限公司	海南椰岛
云南城投置业股份有限公司	云南城投
北京华业地产股份有限公司	华业地产
辽宁时代万恒股份有限公司	时代万恒
中昌海运股份有限公司	中昌海运
青海华鼎实业股份有限公司	青海华鼎
北京万通地产股份有限公司	万通地产
吉林成城集团股份有限公司	成城股份
陕西延长石油化建股份有限公司	延长化建
柳州两面针股份有限公司	两面针
南京纺织品进出口股份有限公司	南纺股份
新疆冠农果茸集团股份有限公司	冠农股份
广西梧州中恒集团股份有限公司	中恒集团
河南天方药业股份有限公司	天方药业
安徽鑫科新材料股份有限公司	鑫科材料
广汇能源股份有限公司	广汇能源
大湖水殖股份有限公司	大湖股份
北京首旅酒店(集团)股份有限公司	首旅酒店
广晟有色金属股份有限公司	广晟有色
湖北凯乐科技股份有限公司	凯乐科技
浙江阳光照明电器集团股份有限公司	阳光照明
内蒙古北方重型汽车股份有限公司	北方股份
路桥集团国际建设股份有限公司	路桥建设
云南景谷林业股份有限公司	景谷林业
北京城建投资发展股份有限公司	北京城建
浙江海正药业股份有限公司	海正药业
国电南京自动化股份有限公司	国电南自
江西赣粤高速公路股份有限公司	赣粤高速
中外运空运发展股份有限公司	外运发展
航天信息股份有限公司	航天信息
上海开开实业股份有限公司	开开实业
上海开开实业股份有限公司	开开实业
华芳纺织股份有限公司	华芳纺织
湖北武昌鱼股份有限公司	武昌鱼
江苏恒瑞医药股份有限公司	恒瑞医药
内蒙古亿利能源股份有限公司	亿利能源
东方国际创业股份有限公司	东方创业
重庆港九股份有限公司	重庆港九
南京中央商场(集团)股份有限公司	南京中商
太原化工股份有限公司	太化股份
南京钢铁股份有限公司	南钢股份
钱江水利开发股份有限公司	钱江水利
上海浦东路桥建设股份有限公司	浦东建设
河南羚锐制药股份有限公司	羚锐制药
江苏舜天股份有限公司	江苏舜天
大恒新纪元科技股份有限公司	大恒科技
亿阳信通股份有限公司	亿阳信通
华仪电气股份有限公司	华仪电气
内蒙古西水创业股份有限公司	西水股份
中电投远达环保(集团)股份有限公司	中电投远达
湖北三峡新型建材股份有限公司	三峡新材
内蒙古鄂尔多斯资源股份有限公司	鄂尔多斯
内蒙古鄂尔多斯资源股份有限公司	鄂尔多斯
兰州铝业股份有限公司	兰州铝业
美罗药业股份有限公司	美罗药业
安琪酵母股份有限公司	安琪酵母
蓝星化工新材料股份有限公司	蓝星新材
维维食品饮料股份有限公司	维维股份
南宁化工股份有限公司	南化股份
西安标准工业股份有限公司	标准股份
辽宁曙光汽车集团股份有限公司	曙光股份
江苏恒顺醋业股份有限公司	恒顺醋业
沈阳商业城股份有限公司	商业城
甘肃酒钢集团宏兴钢铁股份有限公司	酒钢宏兴
山东华泰纸业股份有限公司	华泰股份
万华化学集团股份有限公司	万华化学
广西桂东电力股份有限公司	桂东电力
甘肃荣华实业(集团)股份有限公司	荣华实业
河南平高电气股份有限公司	平高电气
中垦农业资源开发股份有限公司	中农资源
上海家化联合股份有限公司	上海家化
江西洪都航空工业股份有限公司	洪都航空
营口港务股份有限公司	营口港
安徽巢东水泥股份有限公司	巢东股份
潍坊亚星化学股份有限公司	亚星化学
上海振华重工(集团)股份有限公司	振华重工
上海振华重工(集团)股份有限公司	振华重工
四川国栋建设股份有限公司	国栋建设
天津市房地产发展(集团)股份有限公司	天房发展
瀚蓝环境股份有限公司	瀚蓝环境
珠海华发实业股份有限公司	华发股份
西藏天路股份有限公司	西藏天路
无锡商业大厦大东方股份有限公司	大厦股份
内蒙古兰太实业股份有限公司	兰太实业
天津中新药业集团股份有限公司	中新药业
天通控股股份有限公司	天通股份
四川宏达股份有限公司	宏达股份
广州白云山医药集团股份有限公司	NULL
长春燃气股份有限公司	长春燃气
国机汽车股份有限公司	国机汽车
澳柯玛股份有限公司	澳柯玛
美克国际家具股份有限公司	美克股份
西藏珠峰工业股份有限公司	西藏珠峰
新疆独山子天利高新技术股份有限公司	天利高新
华夏幸福基业股份有限公司	华夏幸福
陕西航天动力高科技股份有限公司	航天动力
武汉长江通信产业集团股份有限公司	长江通信
大连橡胶塑料机械股份有限公司	大橡塑
阳泉煤业(集团)股份有限公司	阳泉煤业
山东高速股份有限公司	山东高速
亚宝药业集团股份有限公司	亚宝药业
浙江龙盛集团股份有限公司	浙江龙盛
成都旭光电子股份有限公司	旭光股份
甘肃省敦煌种业股份有限公司	敦煌种业
精伦电子股份有限公司	精伦电子
牡丹江恒丰纸业股份有限公司	恒丰纸业
承德新新钒钛股份有限公司	承德钒钛
国旅联合股份有限公司	国旅联合
新疆塔里木农业综合开发股份有限公司	新农开发
吉林华微电子股份有限公司	华微电子
北京华联综合超市股份有限公司	华联综超
江西铜业股份有限公司	江西铜业
江西联创光电科技股份有限公司	联创光电
通化葡萄酒股份有限公司	通葡股份
宁波韵升股份有限公司	宁波韵升
贵州红星发展股份有限公司	红星发展
广西五洲交通股份有限公司	五洲交通
西南证券股份有限公司	西南证券
江苏三房巷实业股份有限公司	三房巷
万向德农股份有限公司	万向德农
中航机载电子股份有限公司	中航电子
中文天地出版传媒股份有限公司	中文传媒
华菱星马汽车(集团)股份有限公司	华菱星马
北京首都开发股份有限公司	首开股份
江苏宁沪高速公路股份有限公司	宁沪高速
四川天一科技股份有限公司	天科股份
陕西宝光真空电器股份有限公司	宝光股份
健康元药业集团股份有限公司	健康元
青海贤成矿业股份有限公司	贤成矿业
广东明珠集团股份有限公司	广东明珠
金地(集团)股份有限公司	金地集团
山东金泰集团股份有限公司	金泰集团
北京巴士传媒股份有限公司	北巴传媒
浙江海越股份有限公司	海越股份
福建龙净环保股份有限公司	龙净环保
南通江山农药化工股份有限公司	江山股份
金瑞新材料科技股份有限公司	金瑞科技
四川成发航空科技股份有限公司	成发科技
盛和资源控股股份有限公司	盛和资源
广州东华实业股份有限公司	东华实业
贵州盘江精煤股份有限公司	盘江股份
沈阳金山能源股份有限公司	金山股份
安源煤业集团股份有限公司	安源煤业
凯诺科技股份有限公司	凯诺科技
抚顺特殊钢股份有限公司	抚顺特钢
江苏红豆实业股份有限公司	红豆股份
海润光伏科技股份有限公司	海润光伏
河南大有能源股份有限公司	大有能源
北京动力源科技股份有限公司	动力源
国电南瑞科技股份有限公司	国电南瑞
山西安泰集团股份有限公司	安泰集团
唐山三友化工股份有限公司	三友化工
北京华胜天成科技股份有限公司	华胜天成
浙江中国小商品城集团股份有限公司	小商品城
湘潭电机股份有限公司	湘电股份
安徽江淮汽车股份有限公司	江淮汽车
新疆天润乳业股份有限公司	新疆天润
上海现代制药股份有限公司	现代制药
武汉国药科技股份有限公司	国药科技
昆明制药集团股份有限公司	昆明制药
柳州化工股份有限公司	柳化股份
新疆青松建材化工(集团)股份有限公司	青松建化
山东华鲁恒升化工股份有限公司	华鲁恒升
中远航运股份有限公司	中远航运
北京三元食品股份有限公司	三元股份
吉林吉恩镍业股份有限公司	吉恩镍业
广东冠豪高新技术股份有限公司	冠豪高新
北方导航控制技术股份有限公司	北方导航
漳州片仔癀药业股份有限公司	片仔癀
通威股份有限公司	通威股份
河南瑞贝卡发制品股份有限公司	瑞贝卡
安徽国通高新管业股份有限公司	国通管业
深圳市金证科技股份有限公司	金证股份
华纺股份有限公司	华纺股份
宁夏建材集团股份有限公司	宁夏建材
重庆涪陵电力实业股份有限公司	涪陵电力
西安交大博通资讯股份有限公司	交大博通
宝鸡钛业股份有限公司	宝钛股份
株洲时代新材料科技股份有限公司	时代新材
贵研铂业股份有限公司	贵研铂业
杭州士兰微电子股份有限公司	士兰微
江西洪城水业股份有限公司	洪城水业
延边石岘白麓纸业股份有限公司	石岘纸业
北京空港科技园区股份有限公司	空港股份
四川迪康科技药业股份有限公司	迪康药业
山东好当家海洋发展股份有限公司	好当家
天津百利特精电气股份有限公司	百利电气
风神轮胎股份有限公司	风神股份
安徽六国化工股份有限公司	六国化工
无锡华光锅炉股份有限公司	华光股份
湖南湘邮科技股份有限公司	湘邮科技
浙江杭萧钢构股份有限公司	杭萧钢构
湖南科力远新能源股份有限公司	科力远
株洲千金药业股份有限公司	千金药业
凌云工业股份有限公司	凌云股份
双良节能系统股份有限公司	双良节能
福建南纺股份有限公司	福建南纺
北京中创信测科技股份有限公司	中创信测
江苏扬农化工股份有限公司	扬农化工
江苏亨通光电股份有限公司	亨通光电
天津天药药业股份有限公司	天药股份
中金黄金股份有限公司	中金黄金
鹏欣环球资源股份有限公司	鹏欣资源
龙元建设集团股份有限公司	龙元建设
福建凤竹纺织科技股份有限公司	凤竹纺织
晋西车轴股份有限公司	晋西车轴
长江精工钢结构(集团)股份有限公司	精工钢构
云南驰宏锌锗股份有限公司	驰宏锌锗
烽火通信科技股份有限公司	烽火通信
广东科达机电股份有限公司	科达机电
中化国际(控股)股份有限公司	中化国际
航天晨光股份有限公司	航天晨光
安徽水利开发股份有限公司	安徽水利
华丽家族股份有限公司	华丽家族
四川西昌电力股份有限公司	西昌电力
新疆库尔勒香梨股份有限公司	香梨股份
方大特钢科技股份有限公司	方大特钢
上海大屯能源股份有限公司	上海能源
新疆天富热电股份有限公司	天富热电
黑牡丹(集团)股份有限公司	黑牡丹
国药集团药业股份有限公司	国药股份
腾达建设集团股份有限公司	腾达建设
江苏联环药业股份有限公司	联环药业
海南海岛建设股份有限公司	海岛建设
方大炭素新材料科技股份有限公司	方大炭素
上海置信电气股份有限公司	置信电气
康美药业股份有限公司	康美药业
贵州茅台酒股份有限公司	贵州茅台
铜陵中发三佳科技股份有限公司	中发科技
浙江华海药业股份有限公司	华海药业
江苏中天科技股份有限公司	中天科技
贵州贵航汽车零部件股份有限公司	贵航股份
长园集团股份有限公司	长园集团
浙江菲达环保科技股份有限公司	菲达环保
江苏江南高纤股份有限公司	江南高纤
中铁二局股份有限公司	中铁二局
山东省药用玻璃股份有限公司	山东药玻
上海交大昂立股份有限公司	交大昂立
河南豫光金铅股份有限公司	豫光金铅
山东宏达矿业股份有限公司	宏达矿业
南京栖霞建设股份有限公司	栖霞建设
天士力制药集团股份有限公司	天士力
中国软件与技术服务股份有限公司	中国软件
亿晶光电科技股份有限公司	亿晶光电
北海国发海洋生物产业股份有限公司	北海国发
太原狮头水泥股份有限公司	狮头股份
新疆赛里木现代农业股份有限公司	新赛股份
甘肃莫高实业发展股份有限公司	莫高股份
新疆城建(集团)股份有限公司	新疆城建
山煤国际能源集团股份有限公司	山煤国际
山东黄金矿业股份有限公司	山东黄金
深圳高速公路股份有限公司	深高速
厦门钨业股份有限公司	厦门钨业
保定天威保变电气股份有限公司	天威保变
时代出版传媒股份有限公司	时代出版
安徽方兴科技股份有限公司	方兴科技
河北太行水泥股份有限公司	太行水泥
上海九龙山旅游股份有限公司	九龙山
上海九龙山旅游股份有限公司	九龙山
广西北生药业股份有限公司	北生药业
江苏康缘药业股份有限公司	康缘药业
四川大西洋焊接材料股份有限公司	大西洋
河北衡水老白干酒业股份有限公司	老白干酒
北京金自天正智能控制股份有限公司	金自天正
江西长运股份有限公司	江西长运
国睿科技股份有限公司	国睿科技
厦门法拉电子股份有限公司	法拉电子
重庆市迪马实业股份有限公司	迪马股份
湖北洪城通用机械股份有限公司	洪城股份
安徽山鹰纸业股份有限公司	山鹰纸业
中珠控股股份有限公司	中珠控股
安阳钢铁股份有限公司	安阳钢铁
恒生电子股份有限公司	恒生电子
信雅达系统工程股份有限公司	信雅达
浙江康恩贝制药股份有限公司	康恩贝
福建省燕京惠泉啤酒股份有限公司	惠泉啤酒
芜湖港储运股份有限公司	芜湖港
浙江万好万家实业股份有限公司	万好万家
铜陵精达特种电磁线股份有限公司	精达股份
北京京能电力股份有限公司	京能电力
青岛黄海橡胶股份有限公司	黄海股份
卧龙电气集团股份有限公司	卧龙电气
新疆八一钢铁股份有限公司	八一钢铁
天地科技股份有限公司	天地科技
海洋石油工程股份有限公司	海油工程
江苏长电科技股份有限公司	长电科技
安徽海螺水泥股份有限公司	海螺水泥
山东金晶科技股份有限公司	金晶科技
山东新华医疗器械股份有限公司	新华医疗
用友软件股份有限公司	用友软件
广东榕泰实业股份有限公司	广东榕泰
泰豪科技股份有限公司	泰豪科技
上海航空股份有限公司	上海航空
福建龙溪轴承(集团)股份有限公司	龙溪股份
大连圣亚旅游控股股份有限公司	大连圣亚
贵州益佰制药股份有限公司	益佰制药
河南中孚实业股份有限公司	中孚实业
浙江新安化工集团股份有限公司	新安股份
光明乳业股份有限公司	光明乳业
黑龙江北大荒农业股份有限公司	北大荒
熊猫烟花集团股份有限公司	熊猫烟花
青岛啤酒股份有限公司	青岛啤酒
方正科技集团股份有限公司	方正科技
上海仪电电子股份有限公司	仪电电子
上海仪电电子股份有限公司	仪电电子
厦门大洲兴业能源控股股份有限公司	兴业控股
上海市北高新股份有限公司	市北高新
上海市北高新股份有限公司	市北高新
上海汇通能源股份有限公司	汇通能源
上海金丰投资股份有限公司	金丰投资
上海实业医药投资股份有限公司	上实医药
上海宽频科技股份有限公司	上海科技
金杯汽车股份有限公司	金杯汽车
中国纺织机械股份有限公司	中国纺机
中国纺织机械股份有限公司	中国纺机
大众交通(集团)股份有限公司	大众交通
大众交通(集团)股份有限公司	大众交通
老凤祥股份有限公司	老凤祥
老凤祥股份有限公司	老凤祥
上海神奇制药投资管理股份有限公司	神奇制药
上海神奇制药投资管理股份有限公司	神奇制药
上海鼎立科技发展(集团)股份有限公司	鼎立股份
上海鼎立科技发展(集团)股份有限公司	鼎立股份
上海丰华(集团)股份有限公司	丰华股份
上海金枫酒业股份有限公司	金枫酒业
上海联华合纤股份有限公司	联华合纤
上海联华合纤股份有限公司	联华合纤
上海氯碱化工股份有限公司	氯碱化工
上海氯碱化工股份有限公司	氯碱化工
上海海立(集团)股份有限公司	海立股份
上海海立(集团)股份有限公司	海立股份
上海市天宸股份有限公司	天宸股份
上海华鑫股份有限公司	华鑫股份
上海嘉宝实业(集团)股份有限公司	嘉宝集团
双钱集团股份有限公司	双钱股份
双钱集团股份有限公司	双钱股份
上海复旦复华科技股份有限公司	复旦复华
上海申达股份有限公司	申达股份
上海输配电股份有限公司	上电股份
上海新世界股份有限公司	新世界
上海棱光实业股份有限公司	棱光实业
上海龙头(集团)股份有限公司	龙头股份
上海百联集团股份有限公司	百联股份
上海华联商厦股份有限公司	华联商厦
浙报传媒集团股份有限公司	浙报传媒
上海澄海企业发展股份有限公司	澄海股份
上海大众公用事业(集团)股份有限公司	大众公用
上海三爱富新材料股份有限公司	三爱富
百视通新媒体股份有限公司	百视通
上海新黄浦置业股份有限公司	新黄浦
上海金桥出口加工区开发股份有限公司	浦东金桥
上海金桥出口加工区开发股份有限公司	浦东金桥
号百控股股份有限公司	号百控股
上海万业企业股份有限公司	万业企业
申能股份有限公司	Ｇ申能
上海爱建股份有限公司	爱建股份
乐山电力股份有限公司	乐山电力
中源协和干细胞生物工程股份公司	中源协和
上海同达创业投资股份有限公司	同达创业
上海外高桥保税区开发股份有限公司	外高桥
上海外高桥保税区开发股份有限公司	外高桥
上海城投控股股份有限公司	城投控股
上海锦江国际实业投资股份有限公司	锦江投资
上海锦江国际实业投资股份有限公司	锦江投资
上海飞乐音响股份有限公司	飞乐音响
上海爱使股份有限公司	爱使股份
上海申华控股股份有限公司	申华控股
上海飞乐股份有限公司	飞乐股份
上海豫园旅游商城股份有限公司	豫园商城
珠海市博元投资股份有限公司	博元投资
信达地产股份有限公司	信达地产
北京电子城投资开发股份有限公司	电子城
福耀玻璃工业集团股份有限公司	福耀玻璃
上海新南洋股份有限公司	新南洋
上海强生控股股份有限公司	强生控股
上海陆家嘴金融贸易区开发股份有限公司	陆家嘴
上海陆家嘴金融贸易区开发股份有限公司	陆家嘴
哈药集团股份有限公司	哈药股份
天地源股份有限公司	天地源
西南药业股份有限公司	西南药业
无锡市太极实业股份有限公司	太极实业
浙江尖峰集团股份有限公司	尖峰集团
杭州天目山药业股份有限公司	天目药业
广东东阳光铝业股份有限公司	东阳光铝
四川川投能源股份有限公司	川投能源
中华企业股份有限公司	中华企业
上海交运集团股份有限公司	交运股份
航天通信控股集团股份有限公司	航天通信
四川金顶(集团)股份有限公司	四川金顶
金山开发建设股份有限公司	金山开发
金山开发建设股份有限公司	金山开发
上海普天邮通科技股份有限公司	普天邮通
上海普天邮通科技股份有限公司	普天邮通
万鸿集团股份有限公司	万鸿集团
南京新街口百货商店股份有限公司	南京新百
京投银泰股份有限公司	京投银泰
广州珠江实业开发股份有限公司	珠江实业
广州广船国际股份有限公司	广船国际
厦门金龙汽车集团股份有限公司	金龙汽车
甘肃刚泰控股(集团)股份有限公司	刚泰控股
中国石化上海石油化工股份有限公司	上海石化
上海三毛企业(集团)股份有限公司	上海三毛
上海三毛企业(集团)股份有限公司	上海三毛
青岛海尔股份有限公司	青岛海尔
阳煤化工股份有限公司	阳煤化工
上海亚通股份有限公司	亚通股份
福建东百集团股份有限公司	东百集团
大商股份有限公司	大商股份
上海大江食品集团股份有限公司	大江股份
上海大江食品集团股份有限公司	大江股份
上海多伦实业股份有限公司	多伦股份
长春欧亚集团股份有限公司	欧亚集团
济南轻骑摩托车股份有限公司	济南轻骑
济南轻骑摩托车股份有限公司	济南轻骑
辽源均胜电子股份有限公司	均胜电子
哈尔滨工大高新技术产业开发股份有限公司	工大高新
四川沱牌舍得酒业股份有限公司	沱牌舍得
三安光电股份有限公司	三安光电
浙江物产中大元通集团股份有限公司	物产中大
中航投资控股股份有限公司	中航投资
西安曲江文化旅游股份有限公司	曲江文旅
彩虹显示器件股份有限公司	彩虹股份
上海海博股份有限公司	海博股份
常林股份有限公司	常林股份
盛屯矿业集团股份有限公司	盛屯矿业
南宁百货大楼股份有限公司	南宁百货
南京医药股份有限公司	南京医药
青海金瑞矿业发展股份有限公司	金瑞矿业
松辽汽车股份有限公司	松辽汽车
江苏凤凰置业投资股份有限公司	凤凰股份
天津港股份有限公司	天津港
东软集团股份有限公司	东软股份
大连热电股份有限公司	大连热电
甘肃祁连山水泥集团股份有限公司	祁连山
新疆百花村股份有限公司	百花村
河北金牛化工股份有限公司	金牛化工
北京首商集团股份有限公司	首商股份
宁波富达股份有限公司	宁波富达
云南云维股份有限公司	云维股份
华电能源股份有限公司	华电能源
华电能源股份有限公司	华电能源
山东鲁北化工股份有限公司	鲁北化工
佳都新太科技股份有限公司	佳都新太
重庆百货大楼股份有限公司	重庆百货
中国高科集团股份有限公司	中国高科
湖南海利化工股份有限公司	湖南海利
上海新梅置业股份有限公司	上海新梅
成都前锋电子股份有限公司	前锋股份
福建实达集团股份有限公司	实达集团
山东新华锦国际股份有限公司	新华锦
苏州新区高新技术产业股份有限公司	苏州高新
中粮屯河股份有限公司	中粮屯河
兰州民百(集团)股份有限公司	兰州民百
辽宁成大股份有限公司	辽宁成大
山西焦化股份有限公司	山西焦化
华域汽车系统股份有限公司	华域汽车
长春一汽富维汽车零部件股份有限公司	一汽富维
华远地产股份有限公司	华远地产
大唐华银电力股份有限公司	华银电力
中茵股份有限公司	中茵股份
江苏索普化工股份有限公司	江苏索普
大连大显控股股份有限公司	大显股份
上海实业发展股份有限公司	上实发展
西藏旅游股份有限公司	西藏旅游
江中药业股份有限公司	江中药业
天津市海运股份有限公司	天津海运
天津市海运股份有限公司	天津海运
河南东方银星投资股份有限公司	东方银星
上海锦江国际酒店发展股份有限公司	锦江股份
上海锦江国际酒店发展股份有限公司	锦江股份
厦门国贸集团股份有限公司	厦门国贸
浪潮软件股份有限公司	浪潮软件
长江出版传媒股份有限公司	长江传媒
辽宁红阳能源投资股份有限公司	红阳能源
海南正和实业集团股份有限公司	正和股份
中航黑豹股份有限公司	中航黑豹
安徽合力股份有限公司	安徽合力
通策医疗投资股份有限公司	通策医疗
中电广通股份有限公司	中电广通
中航重机股份有限公司	中航重机
烟台园城黄金股份有限公司	园城黄金
运盛(上海)实业股份有限公司	运盛实业
宁波富邦精业集团股份有限公司	宁波富邦
武汉祥龙电业股份有限公司	祥龙电业
江苏综艺股份有限公司	综艺股份
广誉远中药股份有限公司	广誉远
西藏城市发展投资股份有限公司	西藏城投
武汉市汉商集团股份有限公司	汉商集团
南京熊猫电子股份有限公司	南京熊猫
东方通信股份有限公司	东方通信
东方通信股份有限公司	东方通信
烟台新潮实业股份有限公司	新潮实业
新疆友好(集团)股份有限公司	友好集团
四川水井坊股份有限公司	水井坊
山西通宝能源股份有限公司	通宝能源
上海辅仁实业(集团)股份有限公司	上海辅仁
新余钢铁股份有限公司	新钢股份
鲁信创业投资集团股份有限公司	鲁信创投
鲁银投资集团股份有限公司	鲁银投资
银川新华百货商业集团股份有限公司	新华百货
东方电气集团东方锅炉股份有限公司	东方锅炉
中储发展股份有限公司	中储股份
山东鲁抗医药股份有限公司	鲁抗医药
浙江中国轻纺城集团股份有限公司	轻纺城
京能置业股份有限公司	京能置业
云南煤业能源股份有限公司	云煤能源
宜宾纸业股份有限公司	宜宾纸业
张家港保税科技股份有限公司	保税科技
国电电力发展股份有限公司	国电电力
浙江钱江生物化学股份有限公司	钱江生化
浙大网新科技股份有限公司	浙大网新
宁波海运股份有限公司	宁波海运
天津环球磁卡股份有限公司	天津磁卡
华新水泥股份有限公司	华新水泥
华新水泥股份有限公司	华新水泥
福建水泥股份有限公司	福建水泥
河北威远生物化工股份有限公司	威远生化
鹏博士电信传媒集团股份有限公司	鹏博士
江苏悦达投资股份有限公司	悦达投资
沈机集团昆明机床股份有限公司	昆明机床
山东天业恒基股份有限公司	天业股份
马鞍山钢铁股份有限公司	马钢股份
山西杏花村汾酒厂股份有限公司	山西汾酒
神马实业股份有限公司	神马股份
东方集团股份有限公司	东方集团
华北制药股份有限公司	华北制药
杭州解百集团股份有限公司	杭州解百
厦门厦工机械股份有限公司	厦工股份
安信信托投资股份有限公司	安信信托
西安宏盛科技发展股份有限公司	宏盛科技
中路股份有限公司	中路股份
中路股份有限公司	中路股份
上海耀皮玻璃集团股份有限公司	耀皮玻璃
上海耀皮玻璃集团股份有限公司	耀皮玻璃
上海隧道工程股份有限公司	隧道股份
天津劝业场(集团)股份有限公司	津劝业
上海物资贸易股份有限公司	上海物贸
上海物资贸易股份有限公司	上海物贸
上海世茂股份有限公司	世茂股份
上海益民商业集团股份有限公司	益民集团
上海新华传媒股份有限公司	新华传媒
上海兰生股份有限公司	兰生股份
上海友谊集团股份有限公司	友谊股份
上海友谊集团股份有限公司	友谊股份
成商集团股份有限公司	成商集团
哈药集团三精制药股份有限公司	三精制药
香溢融通控股集团股份有限公司	香溢融通
陕西广电网络传媒(集团)股份有限公司	广电网络
上海东方明珠(集团)股份有限公司	东方明珠
上海第一医药股份有限公司	第一医药
上海申通地铁股份有限公司	申通地铁
上海机电股份有限公司	上海机电
上海机电股份有限公司	上海机电
上海界龙实业集团股份有限公司	界龙实业
海通证券股份有限公司	海通证券
上海九百股份有限公司	上海九百
四川长虹电器股份有限公司	四川长虹
浙江新湖创业投资股份有限公司	新湖创业
上海柴油机股份有限公司	上柴股份
上海柴油机股份有限公司	上柴股份
上海中西药业股份有限公司	中西药业
上工申贝(集团)股份有限公司	上工申贝
上工申贝(集团)股份有限公司	上工申贝
丹化化工科技股份有限公司	丹化科技
丹化化工科技股份有限公司	丹化科技
上海宝信软件股份有限公司	宝信软件
上海宝信软件股份有限公司	宝信软件
上海同济科技实业股份有限公司	同济科技
重庆万里新能源股份有限公司	万里股份
上海自动化仪表股份有限公司	自仪股份
上海自动化仪表股份有限公司	自仪股份
上海医药集团股份有限公司	上海医药
上海华东电脑股份有限公司	华东电脑
上海海欣集团股份有限公司	海欣股份
上海海欣集团股份有限公司	海欣股份
龙建路桥股份有限公司	龙建股份
江苏春兰制冷设备股份有限公司	春兰股份
北京航天长峰股份有限公司	航天长峰
长春百货大楼集团股份有限公司	长百集团
哈工大首创科技股份有限公司	工大首创
银座集团股份有限公司	银座股份
北京王府井百货(集团)股份有限公司	王府井
北人印刷机械股份有限公司	北人股份
北京城乡贸易中心股份有限公司	北京城乡
南通科技投资集团股份有限公司	南通科技
内蒙古蒙电华能热电股份有限公司	内蒙华电
哈尔滨哈投投资股份有限公司	哈投股份
百大集团股份有限公司	百大集团
广东肇庆星湖生物科技股份有限公司	星湖科技
通化东宝药业股份有限公司	通化东宝
广东梅雁吉祥水电股份有限公司	梅雁吉祥
远东电缆股份有限公司	远东电缆
厦门华侨电子股份有限公司	厦华电子
中国石化仪征化纤股份有限公司	仪征化纤
中炬高新技术实业(集团)股份有限公司	中炬高新
梅花生物科技集团股份有限公司	梅花集团
天津创业环保集团股份有限公司	创业环保
东方电气股份有限公司	东方电气
洛阳玻璃股份有限公司	洛阳玻璃
中国嘉陵工业股份有限公司(集团)	中国嘉陵
航天时代电子技术股份有限公司	航天电子
成都博瑞传播股份有限公司	博瑞传播
吉林亚泰(集团)股份有限公司	亚泰集团
山东华联矿业控股股份有限公司	华联矿业
云南博闻科技实业股份有限公司	博闻科技
