平安银行股份有限公司	平安银行
广州市浪奇实业股份有限公司	广州浪奇
广州市东方宾馆股份有限公司	东方宾馆
南京红太阳股份有限公司	红太阳
厦门银润投资股份有限公司	银润投资
广东美的电器股份有限公司	美的电器
广西柳工机械股份有限公司	桂柳工Ａ
广东广弘控股股份有限公司	广弘控股
大连冷冻机股份有限公司	大冷股份
大连冷冻机股份有限公司	大冷股份
广州恒运企业集团股份有限公司	穗恒运Ａ
力合股份有限公司	力合股份
广东万家乐股份有限公司	万家乐
万泽实业股份有限公司	万泽股份
华映科技(集团)股份有限公司	华映科技
天津广宇发展股份有限公司	广宇发展
云南白药集团股份有限公司	云南白药
广东电力发展股份有限公司	粤电力Ａ
广东电力发展股份有限公司	粤电力Ａ
中天城投集团股份有限公司	中天城投
佛山电器照明股份有限公司	佛山照明
佛山电器照明股份有限公司	佛山照明
TCL通讯设备股份有限公司	TCL通讯
安徽省皖能股份有限公司	皖能电力
中原环保股份有限公司	中原环保
吉林金浦钛业股份有限公司	金浦钛业
吉林光华控股集团股份有限公司	光华控股
神州学人集团股份有限公司	闽福发Ａ
湖南投资集团股份有限公司	湖南投资
湘火炬汽车集团股份有限公司	湘火炬Ａ
江铃汽车股份有限公司	江铃汽车
江铃汽车股份有限公司	江铃汽车
创元科技股份有限公司	创元科技
甘肃靖远煤电股份有限公司	靖远煤电
湖北沙隆达股份有限公司	沙隆达Ａ
湖北沙隆达股份有限公司	沙隆达Ａ
中国石化山东泰山石油股份有限公司	泰山石油
深圳市太光电信股份有限公司	太光电信
广夏(银川)实业股份有限公司	银广夏
莱茵达置业股份有限公司	莱茵置业
万向钱潮股份有限公司	万向钱潮
昆明百货大楼(集团)股份有限公司	昆百大
陕西烽火电子股份有限公司	烽火电子
宏源证券股份有限公司	宏源证券
陕西省国际信托股份有限公司	陕国投
西安民生集团股份有限公司	西安民生
重庆三峡油漆股份有限公司	渝三峡Ａ
海南海药股份有限公司	海南海药
海南海德实业股份有限公司	海德股份
泸州老窖股份有限公司	泸州老窖
攀钢集团四川长城特殊钢股份有限公司	长城股份
常柴股份有限公司	苏常柴Ａ
常柴股份有限公司	苏常柴Ａ
新大洲控股股份有限公司	新大洲Ａ
海马汽车集团股份有限公司	海马汽车
东莞宏远工业区股份有限公司	粤宏远Ａ
江门甘蔗化工厂(集团)股份有限公司	广东甘化
青海盐湖工业集团股份有限公司	盐湖集团
无锡威孚高科技集团股份有限公司	威孚高科
无锡威孚高科技集团股份有限公司	威孚高科
北海港股份有限公司	北海港
四川友利投资控股股份有限公司	友利控股
东北电气发展股份有限公司	东北电气
四川汇源光通信股份有限公司	汇源通信
金叶珠宝股份有限公司	金叶珠宝
贵州轮胎股份有限公司	黔轮胎Ａ
紫光古汉集团股份有限公司	紫光古汉
重庆桐君阁股份有限公司	桐君阁
福建中福实业股份有限公司	中福实业
四川大通燃气开发股份有限公司	大通燃气
天津国恒铁路控股股份有限公司	国恒铁路
西北轴承股份有限公司	西北轴承
安徽古井贡酒股份有限公司	古井贡酒
安徽古井贡酒股份有限公司	古井贡酒
东北制药集团股份有限公司	东北制药
成都市兴蓉投资股份有限公司	兴蓉投资
青岛双星股份有限公司	青岛双星
河北建投能源投资股份有限公司	建投能源
广东韶能集团股份有限公司	韶能股份
广东金马旅游集团股份有限公司	金马集团
盛达矿业股份有限公司	盛达矿业
四环药业股份有限公司	四环药业
青海明胶股份有限公司	青海明胶
浙江华智控股股份有限公司	华智控股
阳光新业地产股份有限公司	阳光股份
北京绵世投资集团股份有限公司	绵世股份
西安旅游股份有限公司	西安旅游
内蒙古四海科技股份有限公司	四海股份
焦作万方铝业股份有限公司	焦作万方
海南大东海旅游中心股份有限公司	大东海
海南大东海旅游中心股份有限公司	大东海
湖北金环股份有限公司	湖北金环
亿城集团股份有限公司	亿城股份
济南柴油机股份有限公司	石油济柴
吉林化学工业股份有限公司	吉林化工
芜湖海螺型材科技股份有限公司	海螺型材
新华联不动产股份有限公司	新华联
岳阳恒立冷气设备股份有限公司	岳阳恒立
